#Orbital	B	U	N	Q
1	2503.270797	3297.426533	2	1
2	562.208655	794.335304	2	1
3	311.318939	436.075336	2	1
4	244.818393	509.059512	2	1
5	181.729910	477.900379	2	1
6	181.654208	478.924452	2	1
7	181.654208	478.924452	2	1
8	40.955667	76.065893	2	1
9	29.639894	59.237882	2	1
10	29.640000	72.485174	2	1
11	18.442000	50.446645	2	1
12	16.130000	50.446645	2	1
13	16.130000	60.402583	2	1
14	16.246000	49.010564	2	1
15	11.326000	49.010564	2	1
