C2 	12.34
CH 	11.03
CN 	15.40
CO 	14.24
CP 	11.79
CS 	11.45
HS 	12.29
N2 	16.02
NH 	11.52
NO 	9.68
NS 	9.17
O2 	10.85
OH 	16.27
PH 	8.79
PN 	11.89
PO 	8.59
S2 	8.59
SO 	9.33
C3 	12.64
CCN 	11.21
CCO 	10.25
CH2 	9.91
CNO 	12.86
CO2 	13.90
H2O 	12.69
H2S 	10.43
HCN 	13.56
HCO 	8.37
HNC 	12.16
HNO 	10.18
HPO 	10.36
N2O 	12.93
NH2 	12.79
NO2 	8.21
O2H 	12.06
O3 	12.77
OCN 	13.64
OCS 	11.18
PH2 	9.94
SO2 	12.44
C2H2 	11.28
C2N2 	13.25
C3N 	15.42
C4 	10.56
CH3 	9.92
H2C3O 	10.59
H2CN 	10.67
H2CO 	10.88
H2CS 	9.30
HC2N 	10.08
HC2O 	11.14
HCNS 	9.01
HNCS 	9.86
HOCO 	8.27
HOOH 	10.88
HSCN 	10.83
HSSH 	9.12
NCSH 	10.83
NH3 	10.22
NO3 	13.98
SO3 	13.05
C2H3 	8.73
C2H3CHO 	9.99
C4H 	14.39
CH2NH 	9.92
CH2OH 	7.62
CH2PH 	10.04
CH2SH 	7.63
CH3O 	8.89
CH3S 	10.24
CH4 	12.72
H2CCN 	10.42
H2CCS 	8.86
HC3N 	11.48
HC3O 	11.26
HCCCO 	7.57
HCCNC 	11.04
HCNCC 	11.09
N2H3 	7.81
C2H4 	10.40
C3H3 	8.76
CH2CCO 	9.02
CH2NH2 	6.28
CH3NCO 	9.59
CH3NH 	15.09
CH3OH 	10.80
HCOCHO 	10.16
HNCHSH 	9.71
N2H4 	6.82
NC4N 	11.67
NH2CHO 	10.13
NH2CHS 	8.54
c-H2C3O 	9.45
l-HC4H 	9.96
C2H5 	8.19
CH2CCH2 	7.24
CH2CHCN 	10.72
CH3CHS 	8.85
CH3NH2 	9.00
C2H3NH2 	7.98
C2H6 	11.59
C3H5 	7.77
C4H4 	9.32
CH3C3N 	10.59
CH3COCN 	11.16
CH3OCH2 	7.05
HCOOCH3 	10.74
HNCCC 	9.80
NC6N 	10.69
l-HC6H 	9.26
C4H5 	7.96
C5H4 	10.03
C8H 	8.81
CH2CCCCH2 	8.55
CH3C4H 	9.26
CH3OCH3 	9.85
l-C3H6 	9.57
C10H2 	8.50
C2H5CHO 	9.92
C3H5CN 	10.00
C3H7 	10.99
C3H8 	10.99
C4H10 	10.89
C4H7 	7.58
C4H8 	10.89
C5H5 	7.80
C5H6 	8.74
C5H7 	7.42
C5H8 	8.35
C6H4 	8.74
C6H7 	7.31
C6H8 	8.70
C7H4 	7.98
C8H2 	8.81
C8H6 	8.65
CH2CHCHCH2 	8.80
CH3C6H 	8.73
CH3CCH 	10.21
CH3CH2OH 	10.38
CH3COCH3 	9.64
c-C6H6 	9.17
C14H10 	7.21
C5H12 	10.76
C6H10 	8.27
C6H12 	9.29
C6H14 	10.77
C6H9 	6.97
C7H8 	9.09
