Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	2890.16506	2175.80759	***		***		***
2	431.67536	204.14336	***		***		***
3	402.48522	147.12130	***		***		***
4	401.88815	146.73952	***		***		***
5	402.32168	146.69890	***		***		***
6	42.52334	23.32005	***		***		***
7	28.31386	14.26192	14.26200	13.82300	0.915
8	35.48996	11.71945	11.71900	11.39000	0.910
9	35.89438	10.25929	10.25900	9.73900	0.926
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	2890.31361	2175.61343	***		***		***
2	431.57740	203.91337	***		***		***
3	402.31967	146.60959	***		***		***
4	401.82888	146.60953	***		***		***
5	401.32982	146.22166	***		***		***
6	39.76585	21.45765	***		***		***
7	27.67349	14.10508	14.10500	13.52200	0.912
8	36.94533	11.11621	11.11600	10.83500	0.917
