#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.42653	  2503.27080	         ***	     ***
    2	   794.33530	   562.20866	         ***	     ***
    3	   436.07534	   311.31894	         ***	     ***
    4	   509.05951	   244.81839	         ***	     ***
    5	   477.90038	   181.72991	         ***	     ***
    6	   478.92445	   181.65421	         ***	     ***
    7	   478.92445	   181.65421	         ***	     ***
    8	    76.06589	    40.95567	         ***	     ***
    9	    59.23788	    29.63989	         ***	     ***
   10	    72.48517	    21.22017	    25.96000	   0.072
   11	    50.44664	    17.92583	    18.44200	   0.838
   12	    50.44664	    17.92583	    16.13000	   0.812
   13	    60.40258	    17.33569	    16.13000	   0.812
   14	    49.01056	    11.45564	    16.24600	   0.878
   15	    49.01056	    11.45564	    11.32600	   0.902
