Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.06050	561.19694	***		***		***
2	435.83925	309.07729	***		***		***
3	76.16130	39.78482	***		***		***
4	48.92447	23.43513	23.43500	20.97700	0.830
5	54.91693	19.44011	19.44000	17.18800	0.858
6	55.50951	17.76316	17.76300	15.46600	0.855
7	49.72894	15.71185	15.71200	15.52100	0.893
8	49.29307	10.72466	10.72500	9.42500	0.916
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.63104	560.88017	***		***		***
2	436.31888	308.55483	***		***		***
3	74.91501	39.02096	***		***		***
4	51.00644	21.77452	21.77500	20.04800	0.885
5	53.40526	18.19133	18.19100	16.92100	0.906
6	51.71246	15.75221	15.75200	15.22800	0.890
7	51.00831	14.35409	14.35400	14.05400	0.900
