#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   793.91320	   563.93680	         ***	     ***
    2	   793.91758	   563.93617	         ***	     ***
    3	   793.97503	   563.93418	         ***	     ***
    4	   602.47443	   434.94261	         ***	     ***
    5	    69.55434	    47.81726	         ***	     ***
    6	    79.25017	    41.06658	    99.52000	   0.000
    7	    79.24930	    41.06525	   100.37600	   0.000
    8	    84.38730	    26.49273	    21.90600	   0.626
    9	    69.53146	    23.39861	    19.56200	   0.691
   10	    69.53037	    23.39855	    19.56100	   0.691
   11	    51.19958	    22.96298	    19.35400	   0.583
   12	    71.50306	    18.07470	    14.95200	   0.802
   13	    71.50526	    18.07459	    14.95200	   0.802
   14	    78.32180	    16.79315	    13.05200	   0.811
   15	    67.21803	    15.92168	    13.92000	   0.800
   16	    67.21721	    15.92076	    13.92000	   0.800
#Beta orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   795.05989	   563.35975	         ***	     ***
    2	   795.07812	   563.35945	         ***	     ***
    3	   795.08582	   563.35858	         ***	     ***
    4	   602.35652	   435.02168	         ***	     ***
    5	    67.87510	    47.18163	         ***	     ***
    6	    76.15232	    39.57929	 -2728.47900	   0.000
    7	    76.15191	    39.57823	    32.06800	  -0.011
    8	    82.55028	    25.34194	    12.71400	   0.785
    9	    50.08212	    22.92532	    19.53100	   0.547
   10	    70.44394	    21.98732	    19.96400	   0.843
   11	    70.44261	    21.98672	    19.96400	   0.843
   12	    65.55076	    15.16888	    13.61800	   0.819
   13	    65.55030	    15.16820	    13.61800	   0.819
   14	    58.03073	    12.82867	    13.70700	   0.881
   15	    58.03141	    12.82832	    13.70700	   0.881
