#Orbital	B	U	N	Q
1	577.0531	794.4084	2	1
2	441.3970	602.3527	2	1
3	59.6824	86.3610	2	1
4	34.6537	79.3938	2	1
5	32.5421	61.5802	2	1
6	32.5421	61.5802	2	1
7	29.8482	63.5337	2	1
