#Orbital	B	U	N	Q
1	423.0003	601.8491	2	1
2	306.9341	435.9054	2	1
3	305.4014	435.8232	2	1
4	33.1788	52.5136	2	1
5	27.0568	37.6546	2	1
6	19.3421	35.7555	2	1
7	17.6343	30.9018	2	1
8	15.0814	24.4834	2	1
9	14.2601	36.4050	2	1
10	14.0503	27.6960	2	1
11	11.7665	35.1449	2	1
12	10.2269	39.3841	2	1
