#Orbital	B	U	N	Q
1	561.9749	794.3387	2	1
2	427.3272	602.1145	2	1
3	42.6212	73.9459	2	1
4	26.9915	64.3446	2	1
5	18.8327	52.4181	2	1
6	16.6229	54.2097	2	1
7	17.1268	51.5242	2	1
8	10.2685	56.5129	2	1
