#Orbital	B	U	N	Q
1	434.2901	601.6353	2	1
2	431.9155	602.1873	2	1
3	317.9769	435.7844	2	1
4	314.2441	435.4170	2	1
5	45.5138	65.3076	2	1
6	41.0593	63.0708	2	1
7	31.8019	45.2248	2	1
8	29.9461	45.3138	2	1
9	23.9515	38.6078	2	1
10	23.9515	38.6078	2	1
11	20.6360	53.1860	2	1
12	20.6363	40.6620	2	1
13	20.6363	40.6620	2	1
