#Orbital	B	U	N	Q
1	424.2120	602.0428	2	1
2	307.5814	435.6180	2	1
3	307.4344	435.5525	2	1
4	307.1520	435.8609	2	1
5	306.9583	435.6549	2	1
6	306.8045	435.8533	2	1
7	306.5242	435.8221	2	1
8	34.1639	61.9405	2	1
9	30.7625	48.2703	2	1
10	29.5733	46.6273	2	1
11	22.6325	35.2164	2	1
12	22.1348	42.5262	2	1
13	22.1305	47.7568	2	1
14	16.4610	35.2371	2	1
15	15.8789	24.3980	2	1
16	15.8789	24.3980	2	1
17	13.6280	47.6782	2	1
18	14.4046	29.8523	2	1
19	14.4046	29.8523	2	1
20	12.8391	32.0719	2	1
21	12.8391	32.0719	2	1
22	10.5741	34.6861	2	1
23	10.5741	34.6861	2	1
