#Orbital	B	U	N	Q
1	572.7296	793.9399	2	1
2	319.5698	436.6377	2	1
3	52.4445	79.0649	2	1
4	35.5544	59.5801	2	1
5	27.3502	58.3298	2	1
6	27.2495	57.8803	2	1
7	22.9406	44.5752	2	1
