#Orbital	B	U	N	Q
1	307.6265	435.1564	1	1
2	307.2883	435.0992	1	1
3	307.2262	436.2088	1	1
4	306.9792	436.3701	1	1
5	31.0591	48.2861	1	1
6	29.2631	49.7236	1	1
7	24.5912	46.9832	1	1
8	18.9144	33.8096	1	1
9	13.8419	26.6519	1	1
10	13.5271	26.8296	1	1
11	10.9292	34.0126	1	1
12	11.4359	30.3176	1	1
13	10.9308	31.0139	1	1
14	307.7363	435.2585	1	1
15	307.0281	436.4082	1	1
16	307.0125	436.1675	1	1
17	306.7913	436.2583	1	1
18	30.4142	48.2393	1	1
19	27.7529	51.0850	1	1
20	21.1797	41.2231	1	1
21	18.5554	31.7062	1	1
22	13.5700	26.8794	1	1
23	13.0024	28.3861	1	1
24	10.7354	33.4145	1	1
25	10.4699	31.2928	1	1
