#Orbital	B	U	N	Q
1	559.6041	794.3468	2	1
2	307.0187	435.9664	2	1
3	306.7898	435.9494	2	1
4	305.3403	435.8456	2	1
5	38.8987	63.7903	2	1
6	27.5787	40.2413	2	1
7	22.0380	42.2742	2	1
8	20.2567	35.2733	2	1
9	17.4991	31.6449	2	1
10	16.3451	37.6369	2	1
11	15.1323	31.2120	2	1
12	14.4550	30.7143	2	1
13	13.4721	38.7126	2	1
14	13.2968	31.7791	2	1
15	10.6826	49.6009	2	1
16	11.1305	42.8261	2	1
