#Orbital	B	U	N	Q
1	559.4314	794.2595	2	1
2	308.3151	435.9693	2	1
3	306.4926	435.8135	2	1
4	306.1529	435.8349	2	1
5	38.4279	73.3682	2	1
6	29.7339	42.2696	2	1
7	24.1025	44.1393	2	1
8	19.5258	31.6455	2	1
9	16.6409	42.9722	2	1
10	16.5742	35.5163	2	1
11	15.2370	42.4519	2	1
12	14.0846	31.7908	2	1
13	14.4201	41.6454	2	1
14	10.3077	49.2363	2	1
15	11.1956	31.7731	2	1
