#Orbital	B	U	N	Q
1	560.0721	794.2633	2	1
2	309.2293	435.9697	2	1
3	306.4958	435.4898	2	1
4	306.2280	435.9535	2	1
5	39.0946	73.7233	2	1
6	29.2550	49.7057	2	1
7	22.4535	42.4522	2	1
8	18.9446	33.8153	2	1
9	17.9035	34.6668	2	1
10	16.5135	56.6941	2	1
11	15.0939	42.1902	2	1
12	11.0960	52.8064	2	1
13	11.9872	30.9543	2	1
14	11.9265	34.0806	2	1
