#Orbital	B	U	N	Q
1	422.6930	601.7719	2	1
2	305.7890	435.9375	2	1
3	31.9761	47.4099	2	1
4	24.4146	37.6548	2	1
5	17.1954	30.5067	2	1
6	15.4351	30.7135	2	1
7	14.5769	32.3255	2	1
8	13.4773	29.4370	2	1
9	9.6004	38.8252	2	1
