#Orbital	B	U	N	Q
1	424.5179	602.0499	2	1
2	307.9030	435.5162	2	1
3	307.6935	435.5215	2	1
4	307.6197	435.5050	2	1
5	307.6110	435.9655	2	1
6	307.3609	435.9778	2	1
7	307.0396	435.3093	2	1
8	306.8648	436.1789	2	1
9	34.4387	61.9625	2	1
10	31.8945	50.0572	2	1
11	30.2237	50.0088	2	1
12	28.6944	51.3082	2	1
13	22.7207	41.5918	2	1
14	21.3030	42.2185	2	1
15	19.8970	42.1523	2	1
16	18.2956	33.2444	2	1
17	13.8501	47.7840	2	1
18	14.7241	28.4046	2	1
19	14.7241	28.4046	2	1
20	13.8517	29.9358	2	1
21	13.8517	29.9358	2	1
22	12.4451	32.0520	2	1
23	12.4451	32.0520	2	1
24	10.5730	34.5111	2	1
25	10.5730	34.5111	2	1
