#Orbital	B	U	N	Q
1	424.210110	602.428118	1	1
2	308.639489	435.129903	1	1
3	307.819773	435.217796	1	1
4	307.235054	436.161378	1	1
5	34.302320	61.943864	1	1
6	30.842229	53.795006	1	1
7	24.422328	46.581920	1	1
8	15.972000	44.054881	1	1
9	13.591000	54.640491	1	1
10	14.866000	31.851036	1	1
11	14.866000	31.851036	1	1
12	12.791000	35.789830	1	1
13	12.791000	35.789830	1	1
1	424.658744	601.529163	1	1
2	307.658981	434.890389	1	1
3	307.453317	435.776881	1	1
4	307.133420	436.499670	1	1
5	35.005081	63.685828	1	1
6	30.070922	51.163175	1	1
7	23.649742	47.857944	1	1
8	14.167000	56.240711	1	1
9	14.942000	34.772533	1	1
10	14.942000	34.772533	1	1
11	12.281000	36.672976	1	1
12	12.281000	36.672976	1	1
