#Orbital	B	U	N	Q
1	424.161919	601.428045	1	1
2	307.591088	435.279403	1	1
3	306.633737	435.877182	1	1
4	34.302374	62.409314	1	1
5	28.691141	41.428873	1	1
6	18.071000	39.000338	1	1
7	17.063000	27.639149	1	1
8	13.795000	54.505495	1	1
9	14.144000	36.150653	1	1
10	13.122000	39.477272	1	1
11	10.550000	37.432500	1	1
1	423.604793	602.545290	1	1
2	307.035405	435.263946	1	1
3	306.978369	436.419641	1	1
4	33.357676	60.247234	1	1
5	26.703295	41.420601	1	1
6	17.888000	37.767200	1	1
7	16.814000	26.757936	1	1
8	13.090000	53.180627	1	1
9	13.487000	32.820061	1	1
10	12.905000	36.449870	1	1
