#Orbital	B	U	N	Q
1	562.897022	793.524949	1	1
2	562.645643	794.241044	1	1
3	43.310268	74.984403	1	1
4	32.780496	85.732711	1	1
5	21.218378	58.235088	1	1
6	17.231000	64.169428	1	1
7	17.412000	67.040910	1	1
8	11.931000	77.798278	1	1
9	12.317000	73.049456	1	1
1	562.409339	794.657215	1	1
2	561.805491	795.655492	1	1
3	41.614591	72.218529	1	1
4	29.998295	80.663501	1	1
5	18.884000	57.976770	1	1
6	16.855000	66.488247	1	1
7	15.075000	57.142714	1	1
8	11.510000	70.848626	1	1
