#Orbital	B	U	N	Q
1	306.344263	435.626130	2	1
2	306.307065	435.827794	2	1
3	306.254819	435.783711	2	1
4	306.023930	436.006191	2	1
5	305.997671	435.962245	2	1
6	305.680931	435.916693	2	1
7	305.344543	435.878216	2	1
8	30.212394	39.070789	2	1
9	29.114877	44.436330	2	1
10	27.578005	44.693341	2	1
11	25.938111	41.585012	2	1
12	22.849972	38.973698	2	1
13	22.165878	39.995731	2	1
14	17.290000	35.447293	2	1
15	16.156000	35.273957	2	1
16	16.419000	23.524325	2	1
17	14.753000	28.370999	2	1
18	14.314000	27.001260	2	1
19	13.078000	35.223207	2	1
20	12.734000	31.188657	2	1
21	12.487000	28.601262	2	1
22	12.158000	28.177717	2	1
23	12.106000	29.391263	2	1
24	9.598000	31.070287	2	1
25	9.585000	31.743007	2	1
