#Orbital	B	U	N	Q
1	307.110317	435.353907	2	1
2	307.022098	436.224835	2	1
3	306.821441	435.490508	2	1
4	306.820924	435.536278	2	1
5	306.671207	436.173596	2	1
6	306.671207	436.191610	2	1
7	30.384860	47.488985	2	1
8	29.166851	48.059118	2	1
9	27.626442	49.757108	2	1
10	24.294054	45.753796	2	1
11	22.066012	44.389853	2	1
12	17.735000	35.285494	2	1
13	17.495000	37.305532	2	1
14	13.271000	27.630986	2	1
15	13.271000	27.630986	2	1
16	11.872000	28.787198	2	1
17	11.872000	28.787198	2	1
18	9.730000	31.476472	2	1
19	9.730000	31.476472	2	1
