#Orbital	B	U	N	Q
1	305.673747	435.812392	2	1
2	305.597909	435.812746	2	1
3	305.465253	435.944612	2	1
4	305.449715	435.921156	2	1
5	305.393823	435.927197	2	1
6	305.172350	435.888883	2	1
7	30.088963	38.668822	2	1
8	28.569724	38.354231	2	1
9	26.601824	39.987867	2	1
10	23.526529	37.060411	2	1
11	21.942854	35.010714	2	1
12	19.793000	31.347762	2	1
13	16.331000	28.639195	2	1
14	15.373000	28.650733	2	1
15	14.854000	29.176892	2	1
16	14.273000	29.805257	2	1
17	13.534000	34.333858	2	1
18	13.083000	32.357712	2	1
19	12.928000	30.251225	2	1
20	12.246000	31.558242	2	1
21	11.634000	33.253402	2	1
22	11.313000	26.006167	2	1
23	8.641000	28.944833	2	1
