#Orbital	B	U	N	Q
1	306.461435	435.870271	2	1
2	305.735598	435.808038	2	1
3	305.732687	435.872801	2	1
4	29.285520	43.814169	2	1
5	26.147095	41.254720	2	1
6	17.604000	35.863219	2	1
7	15.615000	37.413125	2	1
8	15.244000	26.281111	2	1
9	15.243000	26.279206	2	1
10	10.215000	28.257882	2	1
11	10.214000	28.258426	2	1
