#Orbital	B	U	N	Q
1	305.486668	435.355322	1	1
2	305.431321	435.363214	1	1
3	305.297685	435.926625	1	1
4	305.114498	435.888421	1	1
5	305.086198	436.121459	1	1
6	30.063276	38.250665	1	1
7	27.934583	38.033001	1	1
8	25.470102	38.999168	1	1
9	22.862925	35.125083	1	1
10	17.864000	33.710690	1	1
11	16.608000	25.648745	1	1
12	15.203000	30.797493	1	1
13	15.098000	26.725663	1	1
14	13.736000	30.099657	1	1
15	13.488000	32.662181	1	1
16	13.116000	30.252504	1	1
17	12.270000	31.197854	1	1
18	11.922000	33.585028	1	1
19	10.945000	28.675005	1	1
20	7.702000	33.150190	1	1
1	305.440899	435.473882	1	1
2	305.358476	435.858951	1	1
3	305.079804	435.892910	1	1
4	304.995204	436.321571	1	1
5	304.943094	436.315258	1	1
6	29.550123	38.217276	1	1
7	27.761111	37.988918	1	1
8	24.229644	37.804915	1	1
9	22.598458	35.175914	1	1
10	17.584000	32.794700	1	1
11	16.498000	25.748339	1	1
12	15.056000	31.078587	1	1
13	15.013000	26.236457	1	1
14	13.609000	30.122977	1	1
15	13.256000	31.995801	1	1
16	12.915000	31.734408	1	1
17	12.240000	30.652429	1	1
18	11.789000	33.931918	1	1
19	10.359000	27.322817	1	1
