#Orbital	B	U	N	Q
1	561.237807	794.051163	1	1
2	309.750203	435.829317	1	1
3	307.066643	435.350832	1	1
4	306.925743	436.218386	1	1
5	40.014561	75.500440	1	1
6	29.544137	49.306950	1	1
7	25.098885	49.903342	1	1
8	18.534000	44.340954	1	1
9	17.221000	52.842145	1	1
10	15.672000	54.751513	1	1
11	15.585000	45.715945	1	1
12	11.753000	42.270548	1	1
13	12.217000	33.368779	1	1
14	9.824000	47.292709	1	1
1	560.926455	794.608207	1	1
2	309.143280	436.298034	1	1
3	306.970043	435.455270	1	1
4	306.827809	436.108452	1	1
5	39.244152	74.312010	1	1
6	29.217274	49.104198	1	1
7	23.769445	47.626321	1	1
8	18.549000	40.458324	1	1
9	16.806000	61.156203	1	1
10	15.217000	48.762995	1	1
11	14.313000	45.976712	1	1
12	12.165000	32.681365	1	1
13	11.818000	35.489553	1	1
