#Orbital	B	U	N	Q
1	305.608657	435.376003	1	1
2	305.519159	435.391132	1	1
3	305.390395	435.396548	1	1
4	305.244052	435.898053	1	1
5	305.190745	436.131201	1	1
6	305.070960	436.119554	1	1
7	30.331063	39.777441	1	1
8	28.917649	40.189503	1	1
9	26.764602	39.608431	1	1
10	24.092063	40.010452	1	1
11	21.681080	33.971974	1	1
12	17.713000	31.793049	1	1
13	16.379000	29.921178	1	1
14	15.447000	31.732368	1	1
15	14.479000	32.844796	1	1
16	14.567000	25.178206	1	1
17	13.819000	33.786800	1	1
18	13.190000	30.940190	1	1
19	12.685000	35.681583	1	1
20	12.022000	33.448045	1	1
21	11.815000	26.363534	1	1
22	9.878000	29.128701	1	1
23	7.371000	33.393840	1	1
1	305.533717	435.472386	1	1
2	305.428871	435.456603	1	1
3	305.301958	435.831249	1	1
4	305.117764	436.304646	1	1
5	305.080511	436.270877	1	1
6	304.988972	436.212535	1	1
7	29.977587	39.933879	1	1
8	28.523383	40.562925	1	1
9	26.359751	38.406695	1	1
10	23.187094	40.399194	1	1
11	21.439361	32.967003	1	1
12	17.571000	31.163378	1	1
13	16.258000	30.192557	1	1
14	15.310000	31.458567	1	1
15	14.324000	32.864008	1	1
16	14.300000	25.486484	1	1
17	13.778000	33.413215	1	1
18	13.100000	30.825929	1	1
19	12.530000	35.878893	1	1
20	11.959000	33.334764	1	1
21	11.401000	25.654106	1	1
22	9.385000	29.035257	1	1
