#Orbital	B	U	N	Q
1	306.274248	435.355023	1	1
2	305.766782	435.392003	1	1
3	305.513689	435.109712	1	1
4	305.380218	435.891305	1	1
5	305.354748	436.104642	1	1
6	305.299645	436.265217	1	1
7	30.471882	40.736860	1	1
8	28.803524	43.698765	1	1
9	27.165345	44.135590	1	1
10	24.471336	40.412990	1	1
11	18.765000	33.457080	1	1
12	17.866000	34.143269	1	1
13	16.325000	36.796733	1	1
14	15.931000	30.071004	1	1
15	14.721000	25.214288	1	1
16	13.877000	34.864398	1	1
17	13.506000	34.456282	1	1
18	12.722000	31.300985	1	1
19	12.283000	27.572971	1	1
20	10.368000	29.898456	1	1
21	10.677000	30.312722	1	1
22	7.699000	34.043213	1	1
1	305.767109	436.017974	1	1
2	305.712332	435.457583	1	1
3	305.701802	435.604905	1	1
4	305.439702	435.819358	1	1
5	305.317305	436.292129	1	1
6	305.078634	436.208889	1	1
7	30.075657	41.116160	1	1
8	28.415953	45.088696	1	1
9	26.661417	40.822222	1	1
10	23.685852	42.496022	1	1
11	18.612000	32.077952	1	1
12	17.593000	33.226708	1	1
13	16.184000	36.987485	1	1
14	15.799000	29.494612	1	1
15	14.440000	25.522484	1	1
16	13.860000	33.611640	1	1
17	13.396000	35.300624	1	1
18	12.630000	31.488254	1	1
19	11.871000	26.752657	1	1
20	10.582000	30.960299	1	1
21	9.894000	29.730399	1	1
