#Orbital	B	U	N	Q
1	564.942556	793.208317	1	1
2	564.925440	793.214521	1	1
3	46.522545	80.974391	1	1
4	33.011031	94.659623	1	1
5	22.896205	66.690046	1	1
6	22.896205	66.690046	1	1
7	19.844000	73.070980	1	1
8	12.497000	83.737517	1	1
9	12.497000	83.737517	1	1
1	563.445358	795.989103	1	1
2	563.414174	796.076833	1	1
3	42.900628	74.922851	1	1
4	27.205890	86.202978	1	1
5	18.300000	70.343665	1	1
6	16.689000	52.352830	1	1
7	16.689000	52.352830	1	1
