#Orbital	B	U	N	Q
1	305.064457	435.852774	2	1
2	305.062361	435.897591	2	1
3	304.998142	435.967742	2	1
4	304.927828	435.894543	2	1
5	304.927638	435.893944	2	1
6	29.501796	34.416771	2	1
7	27.685000	35.163397	2	1
8	25.035183	35.909941	2	1
9	22.305908	35.817286	2	1
10	21.365074	30.930911	2	1
11	16.287000	22.473775	2	1
12	15.093000	26.520054	2	1
13	15.025000	24.762579	2	1
14	13.904000	31.648693	2	1
15	13.920000	27.927427	2	1
16	13.365000	27.554712	2	1
17	12.508000	31.507955	2	1
18	12.082000	29.043257	2	1
19	11.658000	31.821757	2	1
20	11.629000	27.988707	2	1
21	11.198000	38.114553	2	1
