#Orbital	B	U	N	Q
1	305.634562	435.784718	2	1
2	305.632113	435.830814	2	1
3	305.430640	435.921591	2	1
4	305.386694	435.925020	2	1
5	305.344435	435.870896	2	1
6	29.975737	39.775319	2	1
7	28.041225	40.170727	2	1
8	25.442129	38.622454	2	1
9	22.014420	36.393732	2	1
10	19.792000	31.242263	2	1
11	16.219000	29.641499	2	1
12	15.117000	30.179822	2	1
13	14.409000	28.428388	2	1
14	14.222000	32.554696	2	1
15	13.274000	29.964172	2	1
16	13.062000	33.845386	2	1
17	11.790000	33.279389	2	1
18	11.411000	25.758897	2	1
19	8.781000	28.763469	2	1
