#Orbital	B	U	N	Q
1	562.250724	793.913119	1	1
2	309.956057	436.012423	1	1
3	306.949117	435.492685	1	1
4	41.122337	77.630384	1	1
5	29.384624	46.457809	1	1
6	21.299413	66.723952	1	1
7	17.728000	40.473917	1	1
8	16.336000	53.986683	1	1
9	15.786000	51.953067	1	1
10	11.199000	37.978551	1	1
11	10.780000	37.809432	1	1
1	561.835505	794.710331	1	1
2	310.097447	435.878162	1	1
3	306.464891	436.422281	1	1
4	40.265205	75.129032	1	1
5	27.535773	47.764092	1	1
6	18.293000	65.416608	1	1
7	17.338000	40.060603	1	1
8	15.769000	49.670304	1	1
9	15.489000	45.412103	1	1
10	10.116000	37.831637	1	1
