#Orbital	B	U	N	Q
1	305.727163	435.859685	2	1
2	305.690074	435.758105	2	1
3	305.603677	435.707302	2	1
4	305.575786	436.026165	2	1
5	305.519023	435.930761	2	1
6	305.377115	435.871032	2	1
7	305.297250	435.895169	2	1
8	30.313620	40.121828	2	1
9	29.254553	40.404691	2	1
10	27.618577	40.564013	2	1
11	25.388849	39.991105	2	1
12	22.291676	39.974751	2	1
13	18.015000	28.184710	2	1
14	20.331000	34.016491	2	1
15	15.894000	31.987393	2	1
16	15.640000	29.783053	2	1
17	14.308000	36.941879	2	1
18	14.342000	31.000327	2	1
19	14.424000	25.307569	2	1
20	13.012000	35.618426	2	1
21	13.064000	33.323390	2	1
22	12.375000	31.466159	2	1
23	11.892000	32.581771	2	1
24	11.850000	24.907235	2	1
25	10.389000	26.850454	2	1
26	8.050000	29.826564	2	1
