#Orbital	B	U	N	Q
1	306.182926	435.811793	2	1
2	306.065754	435.922761	2	1
3	305.788742	435.683492	2	1
4	305.613093	435.860910	2	1
5	305.466369	435.988776	2	1
6	30.082296	40.807610	2	1
7	27.884106	44.075126	2	1
8	25.802190	41.555705	2	1
9	21.844729	38.000510	2	1
10	17.706000	31.839254	2	1
11	16.524000	33.959021	2	1
12	15.180000	31.977760	2	1
13	14.764000	25.354454	2	1
14	13.733000	34.622298	2	1
15	12.978000	31.679523	2	1
16	11.934000	26.937068	2	1
17	10.528000	29.947437	2	1
18	9.209000	29.980444	2	1
