#Orbital	B	U	N	Q
1	560.205108	794.510464	1	1
2	309.457680	435.813181	1	1
3	307.898522	435.188380	1	1
4	306.171742	436.145731	1	1
5	39.192342	73.369163	1	1
6	29.986948	52.544806	1	1
7	25.027400	47.439297	1	1
8	18.155000	40.343574	1	1
9	16.497000	62.908480	1	1
10	15.283000	44.469990	1	1
11	15.139000	39.922804	1	1
12	12.597000	32.386774	1	1
13	12.535000	34.939692	1	1
14	11.013000	58.788567	1	1
1	560.488977	793.962399	1	1
2	309.262602	436.101540	1	1
3	306.574770	434.905164	1	1
4	306.435285	436.605604	1	1
5	39.805360	75.382914	1	1
6	29.244050	49.715312	1	1
7	24.318789	48.544923	1	1
8	18.097000	40.945000	1	1
9	16.699000	63.536165	1	1
10	15.442000	48.930998	1	1
11	11.340000	60.117544	1	1
12	11.974000	34.570542	1	1
13	11.965000	31.908507	1	1
