#Orbital	B	U	N	Q
1	305.555132	435.847195	1	1
2	305.411946	435.344057	1	1
3	305.411048	435.820011	1	1
4	305.254120	435.969619	1	1
5	305.211670	435.890353	1	1
6	305.110961	435.913319	1	1
7	30.042132	36.189076	1	1
8	28.614487	38.952147	1	1
9	26.436515	38.100676	1	1
10	24.051518	37.048411	1	1
11	21.227058	34.560093	1	1
12	18.494000	31.496717	1	1
13	16.236000	26.034331	1	1
14	15.677000	26.633090	1	1
15	14.756000	30.063629	1	1
16	14.566000	28.456579	1	1
17	14.249000	29.882347	1	1
18	13.217000	32.339726	1	1
19	13.124000	29.913232	1	1
20	12.733000	31.869758	1	1
21	11.874000	34.306102	1	1
22	11.922000	30.701546	1	1
23	9.776000	28.398619	1	1
24	7.764000	35.185819	1	1
1	305.563649	435.836528	1	1
2	305.347999	435.804310	1	1
3	305.332217	435.994763	1	1
4	305.197901	435.911469	1	1
5	305.195098	435.824528	1	1
6	304.760669	436.495969	1	1
7	29.698970	36.635751	1	1
8	27.990639	38.153792	1	1
9	26.276403	37.517590	1	1
10	23.760357	37.450487	1	1
11	18.468000	32.056591	1	1
12	18.328000	32.661664	1	1
13	16.155000	26.479808	1	1
14	15.557000	26.499428	1	1
15	14.484000	32.872008	1	1
16	14.411000	28.750898	1	1
17	14.062000	26.377983	1	1
18	13.062000	31.280006	1	1
19	12.913000	30.992925	1	1
20	12.644000	32.108130	1	1
21	11.814000	32.709148	1	1
22	11.734000	33.203769	1	1
23	9.774000	28.182669	1	1
