#Orbital	B	U	N	Q
1	563.086141	793.851948	1	1
2	425.878875	601.390357	1	1
3	310.654764	435.987742	1	1
4	42.076885	78.028460	1	1
5	35.037245	59.630161	1	1
6	21.997521	72.907576	1	1
7	17.622000	53.350236	1	1
8	17.155000	52.059055	1	1
9	15.684000	56.576663	1	1
10	13.557000	51.932033	1	1
11	12.558000	50.132571	1	1
1	562.610404	794.773897	1	1
2	425.173121	602.854629	1	1
3	310.882632	435.674702	1	1
4	41.063805	75.088188	1	1
5	32.444326	58.476181	1	1
6	21.388503	72.297415	1	1
7	17.182000	50.431842	1	1
8	16.759000	43.982090	1	1
9	14.645000	54.938537	1	1
10	11.877000	48.476323	1	1
