#Orbital	B	U	N	Q
1	424.374957	601.174000	1	1
2	31.783117	52.811559	1	1
3	17.113000	37.097664	1	1
4	12.447000	46.991860	1	1
5	12.787000	44.108950	1	1
1	423.532220	602.867772	1	1
2	28.493505	47.938299	1	1
3	16.529000	35.215833	1	1
4	11.767000	42.870587	1	1
