#Orbital	B	U	N	Q
1	305.059341	435.874189	2	1
2	305.059042	435.877754	2	1
3	305.001789	435.838705	2	1
4	304.984401	436.045893	2	1
5	304.923175	435.894053	2	1
6	304.923175	435.895387	2	1
7	29.659704	34.352008	2	1
8	28.300168	35.006006	2	1
9	26.204619	35.822239	2	1
10	23.724356	36.457380	2	1
11	21.691257	35.138335	2	1
12	21.359523	30.299579	2	1
13	16.366000	22.258043	2	1
14	15.413000	24.044389	2	1
15	14.963000	27.654415	2	1
16	14.550000	27.676701	2	1
17	14.010000	26.498802	2	1
18	13.285000	33.120257	2	1
19	13.260000	30.062242	2	1
20	12.653000	28.617208	2	1
21	12.125000	31.533371	2	1
22	11.808000	29.040644	2	1
23	11.558000	32.160348	2	1
24	11.568000	27.800322	2	1
25	10.938000	39.270956	2	1
