#Orbital	B	U	N	Q
1	2505.367352	3297.354967	1	1
2	562.116381	793.484105	1	1
3	246.675271	509.326265	1	1
4	183.777648	479.355045	1	1
5	183.777648	479.355045	1	1
6	183.395192	478.294672	1	1
7	39.651915	79.676245	1	1
8	25.988833	75.537747	1	1
9	18.471000	61.265892	1	1
10	18.471000	61.265892	1	1
11	15.932000	67.315174	1	1
12	10.558000	59.768857	1	1
13	10.558000	59.768857	1	1
1	2505.032543	3297.612876	1	1
2	560.941176	795.676771	1	1
3	246.313740	509.346129	1	1
4	183.316252	478.402348	1	1
5	182.892625	478.505724	1	1
6	182.892625	478.505724	1	1
7	36.767835	73.487832	1	1
8	21.915914	75.187781	1	1
9	14.894000	63.948037	1	1
10	13.712000	47.979334	1	1
11	13.712000	47.979334	1	1
