#Orbital	B	U	N	Q
1	306.864816	435.628307	2	1
2	306.821088	436.092969	2	1
3	306.166817	435.565285	2	1
4	306.166763	435.588823	2	1
5	305.964664	436.089785	2	1
6	305.964609	436.084696	2	1
7	30.677437	42.519913	2	1
8	28.593942	47.339676	2	1
9	27.216067	48.210168	2	1
10	24.052580	42.760571	2	1
11	20.194000	36.488374	2	1
12	17.967000	30.835235	2	1
13	16.971000	33.408616	2	1
14	16.131000	40.929735	2	1
15	14.332000	33.980600	2	1
16	12.874000	26.014330	2	1
17	11.491000	28.385939	2	1
18	10.930000	29.994322	2	1
19	10.757000	30.119685	2	1
20	9.210000	30.610796	2	1
