#Orbital	B	U	N	Q
1	305.694183	435.489257	2	1
2	305.678046	435.668335	2	1
3	305.678046	435.668335	2	1
4	305.643243	436.014681	2	1
5	305.643243	436.014681	2	1
6	305.626290	436.264917	2	1
7	31.392552	39.256942	2	1
8	27.665245	42.328345	2	1
9	27.665245	42.328264	2	1
10	22.458918	38.991331	2	1
11	22.458863	38.991223	2	1
12	17.293000	25.380795	2	1
13	15.691000	34.225257	2	1
14	14.897000	40.006044	2	1
15	14.396000	32.555349	2	1
16	14.396000	32.555322	2	1
17	13.730000	23.745445	2	1
18	12.192000	37.909733	2	1
19	12.192000	37.909679	2	1
20	9.429000	27.835207	2	1
21	9.429000	27.835153	2	1
