#Orbital	B	U	N	Q
1	560.720845	794.336420	2	1
2	425.008873	602.152603	2	1
3	310.300961	436.057430	2	1
4	307.641892	435.693288	2	1
5	306.729549	435.808174	2	1
6	39.303936	71.871611	2	1
7	33.896680	60.302935	2	1
8	29.264540	41.188678	2	1
9	24.918800	44.197822	2	1
10	17.743000	53.773699	2	1
11	16.620000	49.660236	2	1
12	16.858000	29.962566	2	1
13	15.208000	41.078064	2	1
14	14.482000	45.956766	2	1
15	14.554000	39.263282	2	1
16	13.530000	39.427122	2	1
17	13.413000	41.657040	2	1
18	11.493000	61.087875	2	1
