#Orbital	B	U	N	Q
1	306.350059	435.321254	1	1
2	305.601364	435.119019	1	1
3	305.505825	435.909237	1	1
4	305.301114	436.228100	1	1
5	29.655023	41.588767	1	1
6	27.569134	45.134003	1	1
7	24.075437	38.422858	1	1
8	17.888000	34.256605	1	1
9	16.456000	31.860261	1	1
10	14.828000	25.421965	1	1
11	14.517000	34.405587	1	1
12	13.511000	29.747977	1	1
13	11.677000	29.243124	1	1
14	10.674000	30.256095	1	1
15	8.222000	33.787317	1	1
1	305.772225	435.637069	1	1
2	305.740551	436.064642	1	1
3	305.588630	435.853617	1	1
4	305.090580	436.274795	1	1
5	29.079856	43.475577	1	1
6	26.945123	41.863520	1	1
7	23.063228	40.377588	1	1
8	17.522000	31.973488	1	1
9	16.279000	31.100764	1	1
10	14.339000	34.251815	1	1
11	14.475000	25.665262	1	1
12	13.477000	29.763461	1	1
13	11.170000	28.799252	1	1
14	10.518000	30.974122	1	1
