#Orbital	B	U	N	Q
1	560.069786	794.082456	1	1
2	306.875919	436.018246	1	1
3	306.731453	435.433936	1	1
4	38.399048	69.001082	1	1
5	26.728956	42.428075	1	1
6	23.770996	42.902533	1	1
7	16.950000	35.748061	1	1
8	16.290000	41.573882	1	1
9	16.377000	43.319874	1	1
10	14.113000	33.561980	1	1
11	12.859000	40.030208	1	1
12	12.263000	49.886825	1	1
13	7.656000	45.253461	1	1
1	559.890789	794.400911	1	1
2	306.884572	436.005566	1	1
3	306.108421	436.518174	1	1
4	37.877324	68.631225	1	1
5	26.204374	41.981155	1	1
6	22.424985	41.959060	1	1
7	16.762000	35.609827	1	1
8	16.504000	40.656695	1	1
9	15.850000	35.242011	1	1
10	13.944000	33.227606	1	1
11	12.315000	49.676780	1	1
12	11.504000	49.929383	1	1
