#Orbital	B	U	N	Q
1	306.824516	435.612198	2	1
2	306.644703	435.902761	2	1
3	306.577083	435.685179	2	1
4	306.551450	435.701397	2	1
5	306.526198	435.966681	2	1
6	306.371719	436.101513	2	1
7	306.214954	435.896883	2	1
8	305.677230	435.880693	2	1
9	30.301538	44.045030	2	1
10	29.701201	43.345208	2	1
11	28.485940	45.589140	2	1
12	27.079574	47.971034	2	1
13	24.583637	39.838884	2	1
14	23.423507	43.852237	2	1
15	21.405347	45.269080	2	1
16	17.310000	36.506306	2	1
17	16.333000	33.414712	2	1
18	16.088000	24.522493	2	1
19	14.139000	32.891954	2	1
20	13.512000	30.213047	2	1
21	13.347000	28.039184	2	1
22	12.803000	28.184275	2	1
23	12.786000	27.936978	2	1
24	11.302000	29.657146	2	1
25	11.300000	29.191777	2	1
26	9.191000	32.288405	2	1
27	9.185000	31.933242	2	1
