#Orbital	B	U	N	Q
1	306.401651	435.306396	1	1
2	305.731081	435.074664	1	1
3	305.449280	436.225379	1	1
4	29.228730	45.731728	1	1
5	26.610151	43.897925	1	1
6	18.184000	34.943202	1	1
7	16.245000	37.368063	1	1
8	15.758000	26.929340	1	1
9	12.207000	28.533778	1	1
10	10.910000	29.913042	1	1
11	8.917000	32.518069	1	1
1	305.906758	435.249416	1	1
2	305.817668	436.413029	1	1
3	305.216786	436.260210	1	1
4	28.852614	47.253497	1	1
5	24.677408	42.257922	1	1
6	17.820000	32.615241	1	1
7	16.052000	36.799427	1	1
8	15.553000	26.095012	1	1
9	11.541000	28.418320	1	1
10	10.765000	30.186570	1	1
