#Orbital	B	U	N	Q
1	2504.438220	3297.404437	1	1
2	426.670618	601.758963	1	1
3	245.898059	509.172956	1	1
4	182.866747	479.356188	1	1
5	182.816705	478.501996	1	1
6	182.711016	478.312169	1	1
7	34.014913	63.489906	1	1
8	22.773944	68.692750	1	1
9	16.813000	48.044941	1	1
10	14.120000	56.850981	1	1
11	14.140000	43.653132	1	1
12	9.172000	54.000071	1	1
1	2504.313891	3297.501010	1	1
2	426.068566	602.884480	1	1
3	245.764043	509.189909	1	1
4	182.688676	478.370891	1	1
5	182.581463	478.283053	1	1
6	182.433678	478.946521	1	1
7	32.790319	62.128194	1	1
8	18.498000	66.979576	1	1
9	13.531000	55.669000	1	1
10	13.921000	41.710865	1	1
11	12.918000	42.103443	1	1
