#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   435.79468	   305.07752	         ***	     ***
    2	   436.00747	   305.06008	         ***	     ***
    3	   435.89215	   304.93235	         ***	     ***
    4	   435.89326	   304.93215	         ***	     ***
    5	    34.49479	    29.23771	         ***	     ***
    6	    35.25181	    26.72890	         ***	     ***
    7	    35.67954	    23.42677	         ***	     ***
    8	    31.93267	    21.43993	         ***	     ***
    9	    22.81345	    17.44857	    16.15000	   0.897
   10	    26.63225	    15.94193	    14.82000	   0.901
   11	    28.81738	    15.70696	    14.57200	   0.898
   12	    25.77163	    15.45748	    14.44500	   0.906
   13	    29.61225	    14.00263	    13.08100	   0.907
   14	    28.57538	    13.44863	    12.60300	   0.912
   15	    33.70530	    12.78285	    11.87400	   0.903
   16	    28.22555	    12.55550	    11.74300	   0.916
   17	    34.87547	    12.43122	    11.53200	   0.903
