Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	602.15992	424.35817	***		***		***
2	435.70766	307.58369	***		***		***
3	435.83378	307.48518	***		***		***
4	435.83721	306.97929	***		***		***
5	435.78983	306.88106	***		***		***
6	59.18800	33.38407	***		***		***
7	44.77917	30.21348	***		***		***
8	42.29000	27.76432	***		***		***
9	47.59954	23.83195	***		***		***
10	38.68545	18.34066	18.34100	16.70800	0.868
11	26.10609	17.14772	17.14800	16.05600	0.886
12	26.10603	17.14747	17.14700	16.05500	0.886
13	54.98235	15.68562	15.68600	13.29300	0.844
14	32.57094	14.34100	14.34100	13.81700	0.848
15	32.57097	14.34100	14.34100	13.81700	0.848
16	34.79150	10.90295	10.90300	11.10700	0.887
17	34.79150	10.90292	10.90300	11.10700	0.887
