#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.83887	   308.16944	         ***	     ***
    2	    37.60826	    24.06619	         ***	     ***
    3	    31.94296	    12.91428	    12.34200	   0.914
    4	    33.02820	    11.55926	    10.55600	   0.923
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   437.12518	   307.54690	         ***	     ***
    2	    33.98961	    21.53082	         ***	     ***
    3	    31.76891	    11.85374	    11.42500	   0.923
