#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   794.33642	   560.72085	         ***	     ***
    2	   602.15260	   425.00887	         ***	     ***
    3	   436.05743	   310.30096	         ***	     ***
    4	   435.69329	   307.64189	         ***	     ***
    5	   435.80817	   306.72955	         ***	     ***
    6	    71.87161	    39.30394	         ***	     ***
    7	    60.30294	    33.89668	         ***	     ***
    8	    41.18868	    29.26454	         ***	     ***
    9	    44.19782	    24.91880	         ***	     ***
   10	    53.77370	    19.97082	    17.74300	   0.865
   11	    49.66024	    18.44804	    16.62000	   0.873
   12	    29.96257	    17.72117	    16.85800	   0.889
   13	    41.07806	    16.71133	    15.20800	   0.887
   14	    45.95677	    16.12302	    14.48200	   0.882
   15	    39.26328	    15.13290	    14.55400	   0.885
   16	    39.42712	    13.62708	    13.53000	   0.888
   17	    41.65704	    13.31206	    13.41300	   0.885
   18	    61.08788	    13.21306	    11.49300	   0.877
