#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   793.20832	   564.94256	         ***	     ***
    2	   793.21452	   564.92544	         ***	     ***
    3	    80.97439	    46.52255	         ***	     ***
    4	    94.65962	    33.01103	         ***	     ***
    5	    66.69005	    22.89620	         ***	     ***
    6	    66.69005	    22.89620	         ***	     ***
    7	    73.07098	    20.78376	    19.84400	   0.894
    8	    83.73752	    15.34934	    12.49700	   0.880
    9	    83.73752	    15.34934	    12.49700	   0.880
#Beta orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   795.98910	   563.44536	         ***	     ***
    2	   796.07683	   563.41417	         ***	     ***
    3	    74.92285	    42.90063	         ***	     ***
    4	    86.20298	    27.20589	         ***	     ***
    5	    70.34366	    19.12887	    18.30000	   0.909
    6	    52.35283	    15.58891	    16.68900	   0.925
    7	    52.35283	    15.58891	    16.68900	   0.925
