Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.24834	561.02368	***		***		***
2	794.28485	559.42098	***		***		***
3	436.11441	309.79140	***		***		***
4	436.00641	307.21688	***		***		***
5	67.88188	40.06572	***		***		***
6	76.28165	37.31976	***		***		***
7	43.16910	27.01900	***		***		***
8	48.56035	22.40161	***		***		***
9	43.74287	20.20601	20.20600	18.19900	0.877
10	62.16194	18.58334	18.58300	16.64000	0.886
11	40.52181	18.49648	18.49600	16.75800	0.885
12	43.78892	16.26487	16.26500	15.07900	0.905
13	39.79058	15.10863	15.10900	14.31800	0.899
14	49.66674	14.71156	14.71200	13.45600	0.907
15	57.67459	12.84435	12.84400	11.74700	0.893
16	61.88533	12.70638	12.70600	11.12000	0.894
