#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   602.16798	   424.82686	         ***	     ***
    2	   435.68338	   307.94652	         ***	     ***
    3	   435.49519	   307.66483	         ***	     ***
    4	   436.13490	   307.53416	         ***	     ***
    5	    59.35086	    33.79651	         ***	     ***
    6	    49.41724	    29.82967	         ***	     ***
    7	    46.33022	    24.85161	         ***	     ***
    8	    35.70950	    20.68038	    18.87200	   0.860
    9	    55.24064	    16.08759	    13.74100	   0.848
   10	    32.00152	    14.86381	    14.45700	   0.850
   11	    32.00152	    14.86381	    14.45700	   0.850
   12	    34.35688	    11.57477	    11.92700	   0.890
   13	    34.35688	    11.57477	    11.92700	   0.890
