Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.85805	305.63737	***		***		***
2	435.86605	305.29162	***		***		***
3	435.88766	305.18794	***		***		***
4	38.91258	29.04745	***		***		***
5	37.44208	25.42646	***		***		***
6	32.98812	20.64639	20.64600	18.60300	0.847
7	27.18477	17.46250	17.46300	15.99800	0.868
8	32.14155	15.89148	15.89100	14.64100	0.885
9	25.35448	15.50382	15.50400	14.56700	0.900
10	31.74363	14.25234	14.25200	13.29400	0.904
11	31.38809	13.42047	13.42000	12.45800	0.900
12	27.27667	9.77087		9.77100		9.90400		0.907
