#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.40444	  2504.43822	         ***	     ***
    2	   601.75896	   426.67062	         ***	     ***
    3	   509.17296	   245.89806	         ***	     ***
    4	   479.35619	   182.86675	         ***	     ***
    5	   478.50200	   182.81671	         ***	     ***
    6	   478.31217	   182.71102	         ***	     ***
    7	    63.48991	    34.01491	         ***	     ***
    8	    68.69275	    22.77394	         ***	     ***
    9	    48.04494	    16.81283	    13.57400	   0.777
   10	    56.85098	    15.44265	    14.12000	   0.867
   11	    43.65313	    13.44577	    14.14000	   0.901
   12	    54.00007	    10.20139	     9.17200	   0.900
#Beta orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.50101	  2504.31389	         ***	     ***
    2	   602.88448	   426.06857	         ***	     ***
    3	   509.18991	   245.76404	         ***	     ***
    4	   478.37089	   182.68868	         ***	     ***
    5	   478.28305	   182.58146	         ***	     ***
    6	   478.94652	   182.43368	         ***	     ***
    7	    62.12819	    32.79032	         ***	     ***
    8	    66.97958	    20.64008	    18.49800	   0.800
    9	    55.66900	    14.60879	    13.53100	   0.878
   10	    41.71086	    13.43418	    13.92100	   0.892
   11	    42.10344	    12.26338	    12.91800	   0.909
