#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   435.60153	   305.57377	         ***	     ***
    2	   436.12241	   305.52602	         ***	     ***
    3	    40.56263	    28.20077	         ***	     ***
    4	    33.65540	    21.60864	         ***	     ***
    5	    25.36240	    17.60498	    16.17200	   0.858
    6	    34.96930	    16.00593	    14.87300	   0.897
    7	    28.66954	    13.86221	    13.01200	   0.907
    8	    25.88290	    10.28237	    10.59000	   0.913
