Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.62831	306.86482	***		***		***
2	436.09297	306.82109	***		***		***
3	435.56529	306.16682	***		***		***
4	435.58882	306.16676	***		***		***
5	436.08978	305.96466	***		***		***
6	436.08470	305.96461	***		***		***
7	42.51991	30.67744	***		***		***
8	47.33968	28.59394	***		***		***
9	48.21017	27.21607	***		***		***
10	42.76057	24.05258	***		***		***
11	36.48837	20.19354	20.19400	18.47400	0.008
12	30.83524	20.09319	20.09300	17.96700	0.833
13	33.40862	18.91632	18.91600	16.97100	0.841
14	40.92973	18.02526	18.02500	16.13100	0.851
15	33.98060	15.82840	15.82800	14.33200	0.872
16	26.01433	13.60474	13.60500	12.87400	0.844
17	28.38594	11.68476	11.68500	11.49100	0.857
18	29.99432	11.08532	11.08500	10.93000	0.866
19	30.11968	10.90524	10.90500	10.75700	0.870
20	30.61080	8.89785		8.89800		9.21000		0.885
