Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.28806	305.52161	***		***		***
2	435.91653	305.21031	***		***		***
3	36.14815	28.05091	***		***		***
4	34.40346	22.88184	***		***		***
5	24.99088	16.84649	16.84600	15.89800	0.908
6	25.36722	15.71825	15.71800	14.67200	0.905
7	33.05685	14.75382	14.75400	13.86900	0.905
8	28.40578	13.74281	13.74300	13.07100	0.920
9	32.10544	9.50401		9.50400		8.56700		0.919
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.83030	305.29469	***		***		***
2	436.50805	304.88440	***		***		***
3	35.46098	27.06918	***		***		***
4	33.06175	21.43487	***		***		***
5	24.53697	16.56863	16.56900	15.62400	0.910
6	25.77332	14.85497	14.85500	14.19300	0.916
7	33.05773	14.42470	14.42500	13.52300	0.905
8	28.10313	13.58776	13.58800	12.90700	0.921
