#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   602.22953	   426.17714	         ***	     ***
    2	   602.17614	   426.17698	         ***	     ***
    3	   435.50022	   309.08701	         ***	     ***
    4	   435.80292	   309.05389	         ***	     ***
    5	    58.89559	    35.28982	         ***	     ***
    6	    61.51980	    34.55291	         ***	     ***
    7	    48.80196	    26.91873	         ***	     ***
    8	    56.81612	    17.47806	    15.15100	   0.852
    9	    55.27560	    17.02845	    14.82300	   0.858
   10	    34.01603	    16.29309	    16.07100	   0.859
   11	    34.01603	    16.29309	    16.07100	   0.859
   12	    40.06292	    13.39208	    13.79200	   0.886
   13	    40.06292	    13.39208	    13.79200	   0.886
