Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.35764	306.41637	***		***		***
2	435.36779	305.77144	***		***		***
3	435.11679	305.62360	***		***		***
4	436.12712	305.55829	***		***		***
5	436.25167	305.39703	***		***		***
6	41.65935	30.35914	***		***		***
7	46.71068	28.37745	***		***		***
8	43.77942	26.28038	***		***		***
9	36.93908	21.47925	***		***		***
10	32.52637	19.93346	19.93300	18.03800	0.855
11	33.45210	18.60336	18.60300	16.86100	0.862
12	32.34027	17.07708	17.07700	15.57500	0.870
13	37.44583	15.76301	15.76300	14.35400	0.880
14	31.20055	14.31039	14.31000	13.21700	0.894
15	27.13794	13.89751	13.89800	12.53400	0.849
16	29.03599	11.54182	11.54200	10.78800	0.869
17	30.29754	11.05199	11.05200	10.81200	0.885
18	33.12426	8.93543		8.93500		8.14800		0.891
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.49788	305.93479	***		***		***
2	436.19923	305.89555	***		***		***
3	435.37075	305.80131	***		***		***
4	436.26489	305.32114	***		***		***
5	436.21041	305.19066	***		***		***
6	42.03699	30.02444	***		***		***
7	47.52047	28.15089	***		***		***
8	42.75796	24.65967	***		***		***
9	35.71013	21.28064	***		***		***
10	31.33358	19.69816	19.69800	17.81000	0.857
11	33.34851	18.45245	18.45200	16.71400	0.865
12	32.05063	16.93063	16.93100	15.41100	0.872
13	36.93505	15.62513	15.62500	14.21100	0.882
14	30.85175	14.25229	14.25200	13.15600	0.894
15	26.43058	12.56211	12.56200	12.11000	0.882
16	30.90827	10.92458	10.92500	10.72200	0.889
17	29.40422	10.41826	10.41800	10.19500	0.891
