Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.66801	306.09563	***		***		***
2	436.06279	306.04521	***		***		***
3	435.68597	305.77780	***		***		***
4	435.90007	305.68918	***		***		***
5	435.98981	305.45467	***		***		***
6	435.88350	305.33864	***		***		***
7	39.49972	30.26369	***		***		***
8	41.12321	28.46306	***		***		***
9	44.20566	26.77304	***		***		***
10	38.21143	23.92809	***		***		***
11	35.74129	21.51879	***		***		***
12	32.16051	19.73460	19.73500	17.67100	0.843
13	33.52568	18.31623	18.31600	16.49700	0.858
14	29.41796	17.14829	17.14800	15.61100	0.871
15	28.30063	16.57114	16.57100	15.23000	0.884
16	29.99092	15.09233	15.09200	13.89000	0.889
17	32.91563	14.50751	14.50800	13.35700	0.881
18	33.25811	13.67446	13.67400	12.55900	0.890
19	29.82237	13.47946	13.47900	12.45500	0.896
20	27.44029	12.33781	12.33800	11.85200	0.867
21	29.99386	10.55492	10.55500	10.49000	0.882
22	30.33101	8.95883		8.95900		9.15100		0.891
